N,Start time,End Time,Duration,Date,Title,MediaType,Location
90,23:00:00,23:30:00,00:30:00:00,26-05-2015,PUNJABI NEWS,MP,
91,23:30:00,00:00:00,00:30:00:00,26-05-2015,GLOBAL PUNJAB DEBATE,MP,
92,00:00:00,00:30:00,00:30:00:00,27-05-2015,CHAK PUNJABI -RPT,MP,
93,00:30:00,01:00:00,00:30:00:00,27-05-2015,JAAN PEHCHAN,MP,
94,01:00:00,01:30:00,00:30:00:00,27-05-2015,SPEAKER KHADKE,MP,
95,01:30:00,02:00:00,00:30:00:00,27-05-2015,30 MINUTES,MP,
96,02:00:00,03:00:00,01:00:00:00,27-05-2015,GURUBANI-ASA DI WAR,MP,
97,03:00:00,04:00:00,1:00:00:00,27-05-2015,GURUBANI-ASA DI WAR,MP,
98,04:00:00,05:00:00,1:00:00:00,27-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
99,05:00:00,06:00:00,1:00:00:00,27-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
100,06:00:00,06:30:00,00:30:00:00,27-05-2015,PAL PAL,MP,
101,06:30:00,07:00:00,00:30:00:00,27-05-2015,GLOBAL PUNJAB DEBATE,MP,
102,07:00:00,07:15:00,00:15:00:00,27-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
103,07:15:00,07:30:00,00:15:00:00,27-05-2015,BUSINESS TALK CANADA,MP,
104,07:30:00,08:00:00,00:30:00:00,27-05-2015,RU BA RU,MP,
105,08:00:00,08:30:00,00:30:00:00,27-05-2015,30 MINUTES,MP,
106,08:30:00,08:45:00,00:15:00:00,27-05-2015,FITNESS SHOW(TUMMY FIT),MP,
107,08:45:00,09:00:00,00:15:00:00,27-05-2015,SPEAKER KHADKE,MP,
108,09:00:00,09:30:00,00:30:00:00,27-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
109,09:30:00,10:00:00,00:30:00:00,27-05-2015,GLOBAL PUNJAB DEBATE,MP,
110,10:00:00,10:30:00,00:30:00:00,27-05-2015,FITNESS NEWS,MP,
111,10:30:00,11:00:00,00:30:00:00,27-05-2015,PUNJABI NEWS,MP,
112,11:00:00,11:30:00,00:30:00:00,27-05-2015,PAL PAL,MP,
113,11:30:00,11:45:00,00:15:00 :00,27-05-2015,DISSCUSSION POINT,MP,
114,11:45:00,12:00:00,00:15:00 :00,27-05-2015,SPEAKER KHADKE,MP,
115,12:00:00,12:30:00,00:30:00:00,27-05-2015,GALLAN WITH GULABO,MP,
116,12:30:00,13:00:00,00:30:00:00,27-05-2015,SAJJREY SUR,MP,
117,13:00:00,13:30:00,00:30:00:00,27-05-2015,SPEAKER KHADKE,MP,
118,13:30:00,14:00:00,00:30:00:00,27-05-2015,PRABHA AASRA,MP,
119,14:00:00,15:00:00,1:00:00:00,27-05-2015,GURBANI-REHRASS-SHABAD-AKATH KATHA,MP,
120,15:00:00,15:30:00,00:30:00:00,27-05-2015,HEALTH SHOW,MP,
121,15:30:00,15:45:00,00:15:00:00,27-05-2015,SPEAKER KHADKE,MP,
122,15:45:00,16:00:00,00:15:00:00,27-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
123,16:00:00,16:30:00,00:30:00 00,27-05-2015,JAAN PEHCHAN(F),MP,
124,16:30:00,17:00:00,00:30:00:00,27-05-2015,GLOBAL PUNJAB DEBATE,MP,
125,17:00:00,17:30:00,00:30:00:00,27-05-2015,PUNJABI NEWS,MP,
126,17:30:00,18:30:00,1:00:00:00,27-05-2015,HELLO GLOBAL PUNJAB-LIVE,MP,
127,18:30:00,19:00:00,00:30:00:00,27-05-2015,CHAK PUNJABI- LIVE,MP,
128,19:00:00,19:30:00,00:30:00:00,27-05-2015,30 MINUTES,MP,
129,19:30:00,20:00:00,00:30:00:00,27-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
130,20:00:00,20:30:00,00:30:00:00,27-05-2015,PUNJABI NEWS,MP,
131,20:30:00,21:00:00,00:30:00:00,27-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
132,21:00:00,21:30:00,00:30:00:00,27-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
133,21:30:00,22:00:00,00:30:00:00,27-05-2015,CHAK PUNJABI - RPT,MP,
134,22:00:00,22:30:00,00:30:00:00,27-05-2015,30 MINUTES,MP,
135,22:30:00,23:00:00,00:30:00:00,27-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
136,23:00:00,23:30:00,00:30:00:00,27-05-2015,PUNJABI NEWS,MP,
137,23:30:00,00:00:00,00:30:00:00,27-05-2015,GLOBAL PUNJAB DEBATE,MP,
138,00:00:00,00:30:00,00:30:00:00,28-05-2015,CHAK PUNJABI -RPT,MP,
139,00:30:00,01:00:00,00:30:00:00,28-05-2015,SHOKINIYAN,MP,
140,01:00:00,01:30:00,00:30:00:00,28-05-2015,SPEAKER KHADKE,MP,
141,01:30:00,02:00:00,00:30:00:00,28-05-2015,JAAN PEHCHAN,MP,
142,02:00:00,03:00:00,01:00:00:00,28-05-2015,GURUBANI-ASA DI WAR,MP,
143,03:00:00,04:00:00,1:00:00:00,28-05-2015,GURUBANI-ASA DI WAR,MP,
144,04:00:00,05:00:00,1:00:00:00,28-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
145,05:00:00,06:00:00,1:00:00:00,28-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
146,06:00:00,06:30:00,00:30:00:00,28-05-2015,PAL PAL,MP,
147,06:30:00,07:00:00,00:30:00:00,28-05-2015,GLOBAL PUNJAB DEBATE,MP,
148,07:00:00,07:15:00,00:15:00:00,28-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
149,07:15:00,07:30:00,00:15:00:00,28-05-2015,SPEAKER KHADKE,MP,
150,07:30:00,08:00:00,00:30:00:00,28-05-2015,CHAMPIONS-THE UNTOLD STORY,MP,
151,08:00:00,08:30:00,00:30:00:00,28-05-2015,THE KANWAR SANDHU SHOW,MP,
152,08:30:00,08:45:00,00:15:00:00,28-05-2015,FITNESS SHOW,MP,
153,08:45:00,09:00:00,00:15:00:00,28-05-2015,SPEAKER KHADKE,MP,
154,09:00:00,09:30:00,00:30:00:00,28-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
155,09:30:00,10:00:00,00:30:00:00,28-05-2015,GLOBAL PUNJAB DEBATE,MP,
156,10:00:00,10:30:00,00:30:00:00,28-05-2015,FITNESS SHOW,MP,
157,10:30:00,11:00:00,00:30:00:00,28-05-2015,PUNJABI NEWS,MP,
158,11:00:00,11:30:00,00:30:00:00,28-05-2015,PAL PAL,MP,
159,11:30:00,11:45:00,00:15:00 :00,28-05-2015,30 MINUTES,MP,
160,11:45:00,12:00:00,00:15:00 :00,28-05-2015,SPEAKER KHADKE,MP,
161,12:00:00,12:30:00,00:30:00:00,28-05-2015,KHOOBSURTI,MP,
162,12:30:00,13:00:00,00:30:00:00,28-05-2015,CHAK PUNJABI LIVE(REPEAT),MP,
163,13:00:00,13:15:00,00:15:00:00,28-05-2015,BARU SAHIB- WAY OF LIFE,MP,
164,13:15:00,13:30:00,00:15:00:00,28-05-2015,SPEAKER KHADKE,MP,
165,13:30:00,14:00:00,00:30:00:00,28-05-2015,SIKH ITIHAS DE PANYAN CHO,MP,
166,14:00:00,15:00:00,1:00:00:00,28-05-2015,GURBANI-REHRASS-SHABAD-AKATH KATHA,MP,
167,15:00:00,15:30:00,00:30:00:00,28-05-2015,HEALTH SHOW(DR VIRK),MP,
168,15:30:00,15:45:00,00:15:00:00,28-05-2015,HEALTH SHOW(DR KUMAR),MP,
169,15:45:00,16:00:00,00:15:00:00,28-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
170,16:00:00,16:30:00,00:30:00 00,28-05-2015,SHOKINIYAN,MP,
171,16:30:00,17:00:00,00:30:00:00,28-05-2015,GLOBAL PUNJAB DEBATE,MP,
172,17:00:00,17:30:00,00:30:00:00,28-05-2015,PUNJABI NEWS,MP,
173,17:30:00,18:30:00,1:00:00:00,28-05-2015,HELLO GLOBAL PUNJAB-LIVE,MP,
174,18:30:00,19:00:00,00:30:00:00,28-05-2015,CHAK PUNJABI- LIVE,MP,
175,19:00:00,19:30:00,00:30:00:00,28-05-2015,JAAN PEHCHAN,MP,
176,19:30:00,20:00:00,00:30:00:00,28-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
177,20:00:00,20:30:00,00:30:00:00,28-05-2015,PUNJABI NEWS,MP,
178,20:30:00,21:00:00,00:30:00:00,28-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
179,21:00:00,21:30:00,00:30:00:00,28-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
180,21:30:00,22:00:00,00:30:00:00,28-05-2015,CHAK PUNJABI - RPT,MP,
181,22:00:00,22:30:00,00:30:00:00,28-05-2015,JAAN PEHCHAN,MP,
182,22:30:00,23:00:00,00:30:00:00,28-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
183,23:00:00,23:30:00,00:30:00:00,28-05-2015,PUNJABI NEWS,MP,
184,23:30:00,00:00:00,00:30:00:00,28-05-2015,GLOBAL PUNJAB DEBATE,MP,
185,00:00:00,00:30:00,00:30:00:00,29-05-2015,GALLAN WITH GULABO-LIVE,MP,
186,00:30:00,01:00:00,00:30:00:00,29-05-2015,PANGA TV,MP,
187,01:00:00,01:30:00,00:30:00:00,29-05-2015,SPEAKER KHADKE,MP,
188,01:30:00,02:00:00,00:30:00:00,29-05-2015,PUNJABI BITES,MP,
189,02:00:00,02:55:00,0:55:00:00,29-05-2015,GURUBANI-ASA DI WAR,MP,
190,03:00:00,04:00:00,1:00:00:00,29-05-2015,GURUBANI-ASA DI WAR,MP,
191,04:00:00,05:00:00,1:00:00:00,29-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
192,05:00:00,06:00:00,1:00:00:00,29-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
193,06:00:00,06:30:00,00:30:00:00,29-05-2015,PAL PAL,MP,
194,06:30:00,07:00:00,00:30:00:00,29-05-2015,GLOBAL PUNJAB DEBATE,MP,
195,07:00:00,07:15:00,00:15:00:00,29-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
196,07:15:00,07:30:00,00:15:00:00,29-05-2015,SPEAKER KHADKE,MP,
197,07:30:00,08:00:00,00:30:00:00,29-05-2015,JAAN PEHCHAN,MP,
198,08:00:00,08:30:00,00:30:00:00,29-05-2015,30 MINUTES,MP,
199,08:30:00,08:45:00,00:15:00:00,29-05-2015,FITNESS SHOW(TUMMY FIT),MP,
200,08:45:00,09:00:00,00:15:00:00,29-05-2015,SPEAKER KHADKE,MP,
201,09:00:00,09:30:00,00:30:00:00,29-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
202,09:30:00,10:00:00,00:30:00:00,29-05-2015,GLOBAL PUNJAB DEBATE,MP,
203,10:00:00,10:30:00,00:30:00:00,29-05-2015,FITNESS SHOW,MP,
204,10:30:00,11:00:00,00:30:00:00,29-05-2015,PUNJABI NEWS,MP,
205,11:00:00,11:30:00,00:30:00:00,29-05-2015,PAL PAL,MP,
206,11:30:00,11:45:00,00:15:00 :00,29-05-2015,THE KANWAR SANDHU SHOW,MP,
207,11:45:00,12:00:00,00:15:00 :00,29-05-2015,SPEAKER KHADKE,MP,
208,12:00:00,12:30:00,00:30:00:00,29-05-2015,SHOKINIYAN,MP,
209,12:30:00,13:00:00,00:30:00:00,29-05-2015,CHAK PUNJABI LIVE(REPEAT),MP,
210,13:00:00,13:30:00,00:30:00:00,29-05-2015,SPEAKER KHADKE,MP,
211,13:30:00,14:00:00,00:30:00:00,29-05-2015,BHAI KHALSA TRUST,MP,
212,14:00:00,15:00:00,1:00:00:00,29-05-2015,GURBANI-REHRASS-SHABAD-AKATH KATHA,MP,
213,15:00:00,15:30:00,00:30:00:00,29-05-2015,HEALTH SHOW,MP,
214,15:30:00,15:45:00,00:15:00:00,29-05-2015,SPEAKER KHADKE,MP,
215,15:45:00,16:00:00,00:15:00:00,29-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
216,16:00:00,16:30:00,00:30:00 00,29-05-2015,PUNJABI BITES(F),MP,
217,16:30:00,17:00:00,00:30:00:00,29-05-2015,DISCUSSION POINT(F),MP,
218,17:00:00,17:30:00,00:30:00:00,29-05-2015,PUNJABI NEWS,MP,
219,17:30:00,18:30:00,1:00:00:00,29-05-2015,HELLO GLOBAL PUNJAB-LIVE,MP,
220,18:30:00,19:00:00,00:30:00:00,29-05-2015,GALLAN WITH GULABO-LIVE,MP,
221,19:00:00,19:30:00,00:30:00:00,29-05-2015,PUNJABI BITES,MP,
222,19:30:00,20:00:00,00:30:00:00,29-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
223,20:00:00,20:30:00,00:30:00:00,29-05-2015,PUNJABI NEWS,MP,
224,20:30:00,21:30:00,00:30:00:00,29-05-2015,HELLO GLOBAL PUNJAB-RPT,MP,
225,21:30:00,22:00:00,00:30:00:00,29-05-2015,GALLAN WITH GULABO-RPT,MP,
226,22:00:00,22:30:00,00:30:00:00,29-05-2015,DR KANG SHOW,MP,
227,22:30:00,23:00:00,00:30:00:00,29-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
228,23:00:00,23:30:00,00:30:00:00,29-05-2015,PUNJABI NEWS,MP,
229,23:30:00,00:00:00,00:30:00:00,29-05-2015,THE KANWAR SANDHU SHOW,MP,
230,00:00:00,00:30:00,00:30:00:00,30-05-2015,RU BA RU,MP,
231,00:30:00,01:00:00,00:30:00:00,30-05-2015,SAJJREY SUR,MP,
232,01:00:00,01:30:00,00:30:00:00,30-05-2015,SPEAKER KHADKE,MP,
233,01:30:00,02:00:00,00:30:00:00,30-05-2015,PANGA TV,MP,
234,02:00:00,03:00:00,01:00:00:00,30-05-2015,GURBANI- ASA DI WAR,MP,
235,03:00:00,04:00:00,1:00:00:00,30-05-2015,GURBANI- ASA DI WAR,MP,
236,04:00:00,05:00:00,1:00:00:00,30-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
237,05:00:00,06:00:00,1:00:00:00,30-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
238,06:00:00,06:30:00,00:30:00:00,30-05-2015,PAL PAL,MP,
239,06:30:00,07:00:00,00:30:00:00,30-05-2015,INSIDERS VIEW,MP,
240,07:00:00,07:15:00,00:15:00:00,30-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
241,07:15:00,07:30:00,00:15:00:00,30-05-2015,SPEAKER KHADKE,MP,
242,07:30:00,08:00:00,00:30:00:00,30-05-2015,PUNJABI BITES,MP,
243,08:00:00,08:30:00,00:30:00:00,30-05-2015,JAAN PEHCHAAN,MP,
244,08:30:00,08:45:00,00:15:00:00,30-05-2015,FITNESS SHOW(TUMMY FIT),MP,
245,08:45:00,09:00:00,00:15:00:00,30-05-2015,BUSINESS TALK CANADA,MP,
246,09:00:00,09:30:00,00:30:00:00,30-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
247,09:30:00,10:00:00,00:30:00:00,30-05-2015,INSIDERS VIEW,MP,
248,10:00:00,10:30:00,00:30:00:00,30-05-2015,FITNESS SHOW,MP,
249,10:30:00,11:00:00,00:30:00:00,30-05-2015,PUNJABI NEWS,MP,
250,11:00:00,11:30:00,00:30:00:00,30-05-2015,PAL PAL,MP,
251,11:30:00,11:45:00,00:15:00 :00,30-05-2015,CHAMPIONS-THE UNTOLD STORY,MP,
252,11:45:00,12:00:00,00:15:00 :00,30-05-2015,SPEAKER KHADKE,MP,
253,12:00:00,12:30:00,00:30:00:00,30-05-2015,GALLAN WITH GULABO,MP,
254,12:30:00,13:00:00,00:30:00:00,30-05-2015,BARU SAHIB-WAY OF LIFE,MP,
255,13:00:00,13:30:00,00:30:00:00,30-05-2015,SPEAKER KHADKE,MP,
256,13:30:00,14:00:00,00:30:00:00,30-05-2015,DHUR KI BANI ,MP,
257,14:00:00,15:00:00,1:00:00:00,30-05-2015,GURBANI-REHRASS-SHABAD-AKATH KATHA,MP,
258,15:00:00,15:30:00,00:30:00:00,30-05-2015,BHAI KHALSA TRUST,MP,
259,15:30:00,15:45:00,00:15:00:00,30-05-2015,HEALTH SHOW (DR KUMAR),MP,
260,15:45:00,16:00:00,00:15:00:00,30-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
261,16:00:00,16:30:00,00:30:00:00,30-05-2015,DR KANG SHOW(F),MP,
262,16:30:00,17:00:00,00:30:00:00,30-05-2015,JAAN PEHCHAAN,MP,
263,17:00:00,17:30:00,00:30:00:00,30-05-2015,PUNJABI NEWS,MP,
264,17:30:00,18:00:00,00:30:00:00,30-05-2015,THE KANWAR SANDHU SHOW,MP,
265,18:00:00,18:30:00,00:30:00:00,30-05-2015,30 MINUTES,MP,
266,18:30:00,19:00:00,00:30:00:00,30-05-2015,GALLAN WITH GULABO-LIVE,MP,
267,19:00:00,19:30:00,00:30:00:00,30-05-2015,DR KANG SHOW,MP,
268,19:30:00,20:00:00,00:30:00:00,30-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
269,20:00:00,20:30:00,00:30:00:00,30-05-2015,PUNJABI NEWS,MP,
270,20:30:00,21:00:00,00:30:00:00,30-05-2015,THE KANWAR SANDHU SHOW,MP,
271,21:00:00,21:30:00,00:30:00:00,30-05-2015,DISCUSSION POINT,MP,
272,21:30:00,22:00:00,00:30:00:00,30-05-2015,GALLAN WITH GULABO-RPT,MP,
273,22:00:00,22:30:00,00:30:00:00,30-05-2015,PUNJABI BITES,MP,
274,22:30:00,23:00:00,00:30:00:00,30-05-2015,JYOTISH VIGYAN WITH PANDIT R K SHARMA,MP,
275,23:00:00,23:30:00,00:30:00:00,30-05-2015,PUNJABI NEWS,MP,
276,23:30:00,00:00:00,00:30:00:00,30-05-2015,SHOKINIYAN,MP,
277,00:00:00,00:30:00,00:30:00:00,31-05-2015,RU BA RU (F),MP,
278,00:30:00,01:00:00,00:30:00:00,31-05-2015,SAJJREY SUR,MP,
279,01:00:00,01:30:00,00:30:00:00,31-05-2015,SPEAKER KHADKE,MP,
280,01:30:00,02:00:00,00:30:00:00,31-05-2015,PANGA TV,MP,
281,02:00:00,03:00:00,01:00:00:00,31-05-2015,GURBANI - ASA DI WAR,MP,
282,03:00:00,04:00:00,1:00:00:00,31-05-2015,GURBANI - ASA DI WAR,MP,
283,04:00:00,05:00:00,1:00:00:00,31-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
284,05:00:00,06:00:00,1:00:00:00,31-05-2015,SUKMANI SAHIB-AKATH KATHA-SHABAD,MP,
285,06:00:00,06:30:00,00:30:00:00,31-05-2015,PAL PAL,MP,
286,06:30:00,07:00:00,00:30:00:00,31-05-2015,THE KANWAR SANDHU SHOW,MP,
